# at	session	corpus	model
20260824T233419Z	88580c5f-8838-4de7-a23d-07954d3b72d7	5c8e64b	claude-opus-5
20260824T234608Z	b2d046d4-c9ff-4447-9d76-25f5e8609507	d914ffa	claude-opus-5
20260826T035847Z	0845b23b-c480-4bbf-ae98-7b6694424af3	4696c9f	claude-opus-5[1m]
20260827T020753Z	0deded55-cb59-4a17-bab7-3929a7e57d05	f239bba	claude-opus-5[1m]
20260828T050459Z	f36334c9-a677-45e4-801e-e9612c027df3	2102f14	claude-opus-5[1m]
20260829T051001Z	ebae0e59-bbbb-44e8-8569-3736c68c2a2a	45c653f-dirty	claude-opus-5[1m]
