# session	ended_at	reason	pane_status
a31dfd1c-b4e8-4fd2-b013-7021c249f71e	2026-09-10T03:20:38Z	slept	143
75161438-c94b-4276-ad27-5518ff4950bb	2026-09-12T05:19:06Z	slept	143
de00b9b5-4f1a-412b-be15-35454351c824	2026-09-11T02:33:28Z	slept	-
e67635cf-aafc-4489-98f8-90b649d08f78	2026-09-16T03:45:42Z	slept	143
993d9029-838d-40de-be16-b24ec3a8a90a	2026-09-17T21:53:30Z	slept	143
5ee77132-e596-4e6e-b38c-93620d273d22	2026-09-18T19:17:58Z	slept	143
0aa6041f-c487-4ad0-a723-8c45131ea6c4	2026-09-19T23:19:58Z	slept	143
d84b56c1-5500-488b-a080-84acff41f554	2026-09-20T23:20:38Z	slept	143
